id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-05-24T01:25:12;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-05-23T20:25:32;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-05-23T22:34:34;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-05-23T15:18:59;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-05-24T06:42:05;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-05-23T18:04:11;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-05-23T21:00:43;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-05-23T11:03:22;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-05-23T13:52:58;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-05-23T14:35:23;601;74069
